model,dataset,Macro F1,Accuracy,Cohen's Kappa,Macro Precision,Macro Recall,Wake F1,N1 F1,N2 F1,N3 F1,REM F1
u-sleep EEG/EOG,ABC,0.785±0.092,0.848±0.050,0.776±0.061,0.822±0.094,0.781±0.093,0.887±0.046,0.612±0.079,0.863±0.069,0.648±0.285,0.895±0.201
u-sleep EEG/EOG,CCSHS,0.859±0.050,0.919±0.038,0.886±0.053,0.866±0.051,0.869±0.048,0.965±0.033,0.611±0.141,0.912±0.048,0.879±0.093,0.930±0.038
u-sleep EEG/EOG,CFS,0.809±0.079,0.901±0.060,0.851±0.097,0.829±0.079,0.816±0.072,0.962±0.037,0.520±0.156,0.883±0.097,0.780±0.215,0.902±0.110
u-sleep EEG/EOG,CHAT,0.822±0.047,0.881±0.047,0.838±0.063,0.856±0.045,0.821±0.041,0.952±0.036,0.520±0.121,0.851±0.078,0.896±0.071,0.892±0.063
u-sleep EEG/EOG,HOMEPAP,0.739±0.100,0.821±0.092,0.737±0.143,0.778±0.091,0.756±0.083,0.890±0.095,0.417±0.152,0.811±0.117,0.726±0.260,0.878±0.167
u-sleep EEG/EOG,MESA,0.742±0.089,0.859±0.079,0.788±0.117,0.776±0.091,0.774±0.082,0.937±0.095,0.511±0.128,0.838±0.103,0.531±0.299,0.889±0.095
u-sleep EEG/EOG,MROS,0.752±0.080,0.891±0.040,0.826±0.067,0.770±0.075,0.778±0.078,0.955±0.038,0.445±0.150,0.870±0.067,0.605±0.250,0.879±0.140
u-sleep EEG/EOG,SHHS,0.768±0.086,0.871±0.065,0.811±0.094,0.784±0.089,0.795±0.074,0.933±0.067,0.448±0.187,0.861±0.083,0.703±0.226,0.901±0.087
u-sleep EEG/EOG,SOF,0.766±0.068,0.880±0.056,0.813±0.090,0.794±0.064,0.770±0.071,0.945±0.049,0.408±0.147,0.849±0.079,0.718±0.176,0.918±0.071
u-sleep EEG/EOG,APOE,0.718±0.102,0.812±0.087,0.711±0.126,0.755±0.104,0.757±0.084,0.867±0.081,0.447±0.171,0.844±0.106,0.537±0.318,0.867±0.132
u-sleep EEG/EOG,APPLES,0.740±0.086,0.831±0.077,0.746±0.105,0.764±0.088,0.767±0.079,0.906±0.053,0.509±0.142,0.842±0.135,0.386±0.313,0.873±0.149
u-sleep EEG/EOG,MNC-SSC,0.675±0.104,0.804±0.080,0.693±0.120,0.703±0.111,0.712±0.081,0.801±0.126,0.321±0.172,0.852±0.075,0.538±0.305,0.853±0.165
u-sleep EEG/EOG,MNC-DHC,0.815±0.060,0.914±0.039,0.861±0.061,0.840±0.042,0.816±0.073,0.978±0.016,0.535±0.139,0.854±0.072,0.806±0.129,0.904±0.041
u-sleep EEG/EOG,MNC-CNC,0.762±0.065,0.822±0.054,0.754±0.068,0.776±0.070,0.790±0.050,0.786±0.153,0.480±0.139,0.825±0.112,0.846±0.074,0.873±0.054
u-sleep EEG/EOG,MSP,0.773±0.080,0.874±0.036,0.797±0.066,0.795±0.087,0.787±0.079,0.914±0.072,0.488±0.108,0.884±0.058,0.680±0.266,0.876±0.146
u-sleep EEG/EOG,WSC,0.720±0.097,0.853±0.074,0.764±0.113,0.760±0.099,0.737±0.098,0.882±0.112,0.488±0.159,0.897±0.062,0.415±0.286,0.883±0.133
u-sleep EEG/EOG,NCHSDB,0.745±0.074,0.861±0.045,0.790±0.094,0.774±0.076,0.761±0.080,0.851±0.103,0.320±0.160,0.843±0.132,0.888±0.104,0.827±0.157
u-sleep EEG/EOG,DCSM,0.797±0.082,0.924±0.043,0.861±0.076,0.826±0.077,0.799±0.078,0.982±0.022,0.495±0.143,0.850±0.094,0.771±0.205,0.892±0.134
u-sleep EEG/EOG,SEDF-ST,0.744±0.076,0.828±0.055,0.748±0.077,0.786±0.090,0.777±0.056,0.777±0.126,0.451±0.140,0.861±0.064,0.733±0.239,0.894±0.083
u-sleep EEG/EOG,SEDF-SC,0.732±0.088,0.914±0.037,0.821±0.073,0.777±0.084,0.769±0.070,0.979±0.015,0.388±0.130,0.824±0.089,0.598±0.289,0.855±0.117
u-sleep EEG/EOG,PHYS,0.683±0.099,0.772±0.088,0.663±0.123,0.741±0.097,0.720±0.083,0.743±0.160,0.406±0.147,0.822±0.107,0.606±0.277,0.850±0.171
u-sleep EEG/EOG,DOD-H,0.798±0.077,0.865±0.052,0.801±0.076,0.830±0.085,0.809±0.070,0.873±0.134,0.545±0.171,0.867±0.064,0.780±0.174,0.922±0.068
u-sleep EEG/EOG,DOD-O,0.775±0.077,0.865±0.060,0.792±0.089,0.797±0.075,0.795±0.076,0.918±0.053,0.535±0.132,0.876±0.072,0.636±0.277,0.912±0.139
u-sleep EEG/EOG,BSWR,0.711±0.109,0.787±0.099,0.686±0.139,0.782±0.103,0.733±0.093,0.827±0.141,0.440±0.161,0.802±0.126,0.627±0.289,0.864±0.169
u-sleep EEG/EOG,Avg NSRR,0.764±0.045,0.861±0.035,0.791±0.053,0.791±0.041,0.782±0.036,0.907±0.056,0.475±0.081,0.858±0.026,0.681±0.161,0.885±0.024
u-sleep EEG/EOG,Avg OOD,0.749±0.044,0.851±0.059,0.767±0.072,0.791±0.031,0.772±0.034,0.871±0.094,0.466±0.061,0.843±0.027,0.679±0.080,0.884±0.028
u-sleep EEG/EOG,Avg Overall,0.759±0.042,0.858±0.040,0.784±0.056,0.791±0.036,0.779±0.034,0.896±0.067,0.472±0.072,0.853±0.025,0.681±0.134,0.885±0.024
u-sleep EEG,ABC,0.759±0.093,0.838±0.051,0.758±0.060,0.821±0.094,0.756±0.088,0.882±0.048,0.566±0.095,0.853±0.076,0.597±0.323,0.878±0.201
u-sleep EEG,CCSHS,0.855±0.060,0.916±0.048,0.882±0.066,0.863±0.057,0.865±0.057,0.964±0.039,0.607±0.154,0.910±0.057,0.869±0.108,0.927±0.049
u-sleep EEG,CFS,0.795±0.091,0.893±0.063,0.838±0.103,0.824±0.090,0.801±0.080,0.959±0.040,0.527±0.161,0.875±0.101,0.729±0.229,0.883±0.137
u-sleep EEG,CHAT,0.820±0.047,0.873±0.050,0.828±0.067,0.850±0.044,0.821±0.040,0.946±0.040,0.545±0.120,0.845±0.087,0.883±0.076,0.883±0.067
u-sleep EEG,HOMEPAP,0.742±0.070,0.826±0.082,0.742±0.130,0.791±0.084,0.753±0.057,0.897±0.084,0.375±0.132,0.820±0.095,0.757±0.227,0.891±0.120
u-sleep EEG,MESA,0.718±0.098,0.856±0.078,0.780±0.122,0.781±0.087,0.737±0.102,0.936±0.092,0.453±0.153,0.841±0.101,0.483±0.275,0.868±0.123
u-sleep EEG,MROS,0.738±0.086,0.887±0.047,0.821±0.073,0.763±0.085,0.761±0.082,0.954±0.041,0.448±0.161,0.869±0.062,0.558±0.277,0.856±0.165
u-sleep EEG,SHHS,0.752±0.093,0.860±0.072,0.793±0.103,0.780±0.093,0.771±0.084,0.930±0.071,0.442±0.208,0.855±0.086,0.653±0.239,0.882±0.109
u-sleep EEG,SOF,0.745±0.077,0.868±0.070,0.794±0.108,0.792±0.069,0.748±0.071,0.950±0.048,0.428±0.152,0.834±0.095,0.638±0.211,0.887±0.125
u-sleep EEG,APOE,0.697±0.104,0.793±0.093,0.685±0.134,0.742±0.102,0.752±0.084,0.866±0.082,0.384±0.171,0.826±0.110,0.548±0.310,0.840±0.144
u-sleep EEG,APPLES,0.721±0.091,0.807±0.089,0.712±0.118,0.761±0.091,0.750±0.076,0.907±0.052,0.449±0.152,0.814±0.146,0.423±0.324,0.857±0.159
u-sleep EEG,MNC-SSC,0.665±0.105,0.795±0.080,0.680±0.123,0.697±0.113,0.707±0.079,0.795±0.128,0.285±0.169,0.844±0.072,0.558±0.300,0.832±0.171
u-sleep EEG,MNC-DHC,0.794±0.060,0.904±0.043,0.844±0.068,0.827±0.048,0.789±0.064,0.976±0.016,0.505±0.130,0.834±0.095,0.770±0.113,0.887±0.050
u-sleep EEG,MNC-CNC,0.739±0.066,0.801±0.060,0.725±0.075,0.764±0.073,0.773±0.048,0.773±0.172,0.451±0.116,0.808±0.118,0.818±0.078,0.847±0.053
u-sleep EEG,MSP,0.767±0.074,0.870±0.040,0.793±0.064,0.796±0.093,0.784±0.076,0.919±0.070,0.495±0.071,0.880±0.057,0.659±0.259,0.861±0.130
u-sleep EEG,WSC,0.713±0.098,0.843±0.074,0.749±0.115,0.751±0.098,0.745±0.095,0.878±0.110,0.433±0.167,0.889±0.063,0.483±0.280,0.856±0.140
u-sleep EEG,NCHSDB,0.739±0.082,0.853±0.063,0.783±0.109,0.772±0.087,0.755±0.081,0.844±0.101,0.306±0.165,0.848±0.119,0.884±0.101,0.822±0.170
u-sleep EEG,DCSM,0.783±0.086,0.920±0.046,0.854±0.080,0.823±0.087,0.780±0.078,0.981±0.022,0.480±0.148,0.846±0.102,0.736±0.230,0.873±0.143
u-sleep EEG,SEDF-ST,0.758±0.075,0.839±0.054,0.761±0.076,0.813±0.088,0.781±0.056,0.810±0.110,0.475±0.151,0.870±0.061,0.740±0.234,0.895±0.082
u-sleep EEG,SEDF-SC,0.720±0.090,0.912±0.040,0.817±0.081,0.786±0.085,0.761±0.062,0.981±0.014,0.342±0.131,0.814±0.097,0.602±0.288,0.845±0.115
u-sleep EEG,PHYS,0.687±0.101,0.776±0.096,0.671±0.133,0.750±0.101,0.734±0.078,0.746±0.162,0.342±0.155,0.828±0.112,0.698±0.240,0.835±0.173
u-sleep EEG,DOD-H,0.816±0.074,0.890±0.051,0.834±0.081,0.863±0.074,0.813±0.068,0.878±0.087,0.526±0.169,0.907±0.052,0.851±0.175,0.916±0.075
u-sleep EEG,DOD-O,0.775±0.084,0.865±0.071,0.792±0.102,0.807±0.086,0.792±0.069,0.906±0.078,0.495±0.147,0.881±0.071,0.696±0.269,0.904±0.101
u-sleep EEG,BSWR,0.700±0.112,0.781±0.103,0.676±0.143,0.785±0.106,0.726±0.094,0.828±0.141,0.384±0.165,0.798±0.129,0.652±0.265,0.847±0.179
u-sleep EEG,Avg NSRR,0.751±0.046,0.852±0.038,0.777±0.057,0.787±0.041,0.769±0.036,0.904±0.059,0.453±0.085,0.850±0.028,0.665±0.148,0.868±0.026
u-sleep EEG,Avg OOD,0.748±0.047,0.855±0.059,0.772±0.074,0.804±0.035,0.770±0.031,0.876±0.088,0.435±0.077,0.849±0.039,0.711±0.078,0.874±0.032
u-sleep EEG,Avg Overall,0.750±0.044,0.853±0.042,0.775±0.058,0.792±0.038,0.769±0.033,0.896±0.065,0.447±0.078,0.850±0.029,0.679±0.126,0.870±0.026
